kabko,lat,long
KAB. SEMARANG,-7.176478500000001,110.4738762
KAB. SRAGEN,-7.430269999999999,111.0091855
KAB. SUKOHARJO,-7.6483506000000014,110.8552919
KAB. TEGAL,-6.8588473,109.1047663
KAB. TEMANGGUNG,-7.2748721,110.0891894
KAB. WONOGIRI,-7.8846484,111.0460407
KAB. WONOSOBO,-7.363209399999999,109.9001796
KOTA MAGELANG,-7.479734199999999,110.2176941
KOTA PEKALONGAN,-6.8898362,109.6745916
KOTA SALATIGA,-7.330523400000001,110.5084366
KOTA SEMARANG,-7.0051453,110.4381254
KOTA SURAKARTA,-7.575488699999999,110.8243272
KOTA TEGAL,-6.879704100000001,109.1255917
KAB. BANTUL,-7.919016900000001,110.3785438
KAB. GUNUNGKIDUL,-8.0305091,110.6168921
KAB. KULON PROGO,-7.8266798,110.1640846
KAB. SLEMAN,-7.732521299999999,110.402376
KOTA YOGYAKARTA,-7.7955798,110.3694896
KAB. BANGKALAN,-7.038374999999999,112.9136695
KAB. BANYUWANGI,-8.2190944,114.3691416
KAB. BLITAR,-8.095462699999999,112.1609056
KAB. BOJONEGORO,-7.317462900000001,111.7614661
KAB. BONDOWOSO,-7.9673906,113.9060624
KAB. GRESIK,-7.155029099999999,112.5721881
KAB. JEMBER,-8.1844859,113.6680747
KAB. JOMBANG,-7.5740867,112.28609
KAB. KEDIRI,-7.8232397,112.1907122
KAB. LAMONGAN,-7.126926099999999,112.3337769
KAB. LUMAJANG,-8.0943571,113.1441558
KAB. MADIUN,-7.609330600000001,111.6183755
KAB. MAGETAN,-7.6433138,111.356045
KAB. MALANG,-8.242208999999999,112.7152125
KAB. MOJOKERTO,-7.469891400000001,112.4351068
KAB. NGANJUK,-7.594350700000001,111.9045541
KAB. NGAWI,-7.460986999999998,111.3321974
KAB. PACITAN,-8.126331,111.1414226
KAB. PAMEKASAN,-7.1050857,113.5252319
KAB. PASURUAN,-7.785996099999999,112.858217
KAB. PONOROGO,-7.8650759,111.4696322
KAB. PROBOLINGGO,-7.871756199999999,113.4776098
KAB. SAMPANG,-7.0402326,113.2394452
KAB. SIDOARJO,-7.472613399999998,112.6675398
KAB. SITUBONDO,-7.7888522,114.1914951
KAB. SUMENEP,-6.925399899999999,113.9060624
KAB. TRENGGALEK,-8.182411199999999,111.6183755
KAB. TUBAN,-6.8954851,112.029752
KAB. TULUNGAGUNG,-8.091220999999999,111.9641728
KOTA BATU,-7.883064800000001,112.5334492
KOTA BLITAR,-8.095462699999999,112.1609056
KOTA KEDIRI,-7.848015599999999,112.0178286
KOTA MADIUN,-7.6310587,111.5300159
KOTA MALANG,-7.9666204,112.6326321
KOTA MOJOKERTO,-7.4704747,112.4401329
KOTA PASURUAN,-7.6469193,112.8999225
KOTA PROBOLINGGO,-7.776422600000001,113.2037131
KOTA SURABAYA,-7.2574719,112.7520883
KAB. BADUNG,-8.5819296,115.1770586
KAB. BANGLI,-8.297588400000002,115.3548713
KAB. BULELENG,-8.2238968,114.9516869
KAB. GIANYAR,-8.4248244,115.2600506
KAB. JEMBRANA,-8.3233438,114.6667939
KAB. KARANGASEM,-8.3465933,115.5207358
KAB. KLUNGKUNG,-8.727807,115.5444231
KAB. TABANAN,-8.459556100000002,115.0465991
KOTA DENPASAR,-8.670458199999999,115.2126293
KAB. BIMA,-8.4353962,118.626479
KAB. DOMPU,-8.5363958,118.3461948
KAB. LOMBOK BARAT,-8.6464599,116.1123078
KAB. LOMBOK TENGAH,-8.694623,116.2777073
KAB. LOMBOK TIMUR,-8.5134471,116.5609857
KAB. LOMBOK UTARA,-8.373907599999999,116.2777073
KAB. SUMBAWA,-8.6529334,117.3616476
KAB. SUMBAWA BARAT,-8.9292907,116.89103420000001
KOTA BIMA,-8.4642661,118.7449028
KOTA MATARAM,-8.5769951,116.1004894
KAB. ALOR,-8.2928427,124.5528387
KAB. BELU,-9.1538978,124.906551
KAB. ENDE,-8.6762912,121.7195459
KAB. FLORES TIMUR,-8.3130942,122.9663018
KAB. KUPANG,-9.9906166,123.8857747
KAB. LEMBATA,-8.4719075,123.4831906
KAB. MALAKA,-9.5308587,124.906551
KAB. MANGGARAI,-8.6796987,120.3896651
KAB. MANGGARAI BARAT,-8.6688149,120.0665236
KAB. MANGGARAI TIMUR,-8.6206712,120.6199895
KAB. NGADA,-8.7430424,120.9876321
KAB. NAGEKEO,-8.6753545,121.3084088
KAB. ROTE NDAO,-10.7386421,123.1239049
KAB. SABU RAIJUA,-10.5541116,121.8334868
KAB. SIKKA,-8.676617499999999,122.1291843
KAB. SUMBA BARAT,-9.654832599999999,119.3947135
KAB. SUMBA BARAT DAYA,-9.539138999999999,119.13906420000001
KAB. SUMBA TENGAH,-9.4879226,119.6962677
KAB. SUMBA TIMUR,-9.9802103,120.3435506
KAB. TIMOR TENGAH SELATAN,-9.776281599999999,124.4198243
KAB. TIMOR TENGAH UTARA,-9.452264699999999,124.597132
KOTA KUPANG,-10.1771997,123.6070329
KAB. BENGKAYANG,1.06911,109.6639309
KAB. KAPUAS HULU,0.8336697,113.0011989
KAB. KAYONG UTARA,-0.9225877,110.0449662
KAB. KETAPANG,-1.5697615,110.5215459
KAB. KUBU RAYA,-0.3533938,109.4735066
KAB. LANDAK,0.4237287,109.7591675
KAB. MELAWI,-0.7000681,111.6660725
KAB. MEMPAWAH,0.3897139,109.140438
KAB. SAMBAS,1.3625191,109.2831531
KAB. SANGGAU,0.1400117,110.5215459
KAB. SEKADAU,-0.06971750000000002,110.9983515
KAB. SINTANG,-0.1378068,112.8105512
KOTA PONTIANAK,-0.0263303,109.3425039
KOTA SINGKAWANG,0.9060204000000001,108.9872049
KAB. BALANGAN,-2.3260425,115.6154732
KAB. BANJAR,-3.3200228,114.9991464
KAB. BARITO KUALA,-3.0714738,114.6667939
KAB. HULU SUNGAI SELATAN,-2.7662681,115.2363408
KAB. HULU SUNGAI TENGAH,-2.615316200000001,115.5207358
KAB. HULU SUNGAI UTARA,-2.4421225,115.188916
KAB. KOTABARU,-3.0029841,115.9467997
KAB. TABALONG,-1.864302,115.5681084
KAB. TANAH BUMBU,-3.4512244,115.5681084
KAB. TANAH LAUT,-3.7694047,114.8092691
KAB. TAPIN,-2.9160746,115.0465991
KOTA BANJARBARU,-3.4572422,114.8103181
KOTA BANJARMASIN,-3.3186067,114.5943784
KAB. BARITO SELATAN,-1.875943,114.8092691
KAB. BARITO TIMUR,-2.0123999,115.188916
KAB. BARITO UTARA,-0.9587136,115.094045
KAB. GUNUNG MAS,-1.2522464,113.5728501
KAB. KAPUAS,-1.8116445,114.3341432
KAB. KATINGAN,-0.9758378999999998,112.8105512
KAB. KOTAWARINGIN BARAT,-2.5063419,111.7614661
KAB. KOTAWARINGIN TIMUR,-2.1225475,112.8105512
KAB. LAMANDAU,-1.8526377,111.2845025
KAB. MURUNG RAYA,-0.1362171,114.3341432
KAB. PULANG PISAU,-2.6849607,113.9536466
KAB. SUKAMARA,-2.6267517,111.2368084
KAB. SERUYAN,-3.0123467,112.4291464
KOTA PALANGKARAYA,-2.2161048,113.913977
KAB. BERAU,2.0450883,117.3616476
KAB. KUTAI BARAT,-0.4051796,115.8521764
KAB. KUTAI KARTANEGARA,-0.1336655,116.6081653
KAB. KUTAI TIMUR,0.9433774,116.9852422
KAB. MAHAKAM ULU,0.9616678000000001,114.7142918
KAB. PASER,-1.7175266,115.9467997
KAB. PENAJAM PASER UTARA,-1.2917094,116.5137964
KOTA BALIKPAPAN,-1.2379274,116.8528526
KOTA BONTANG,0.120863,117.4800445
KOTA SAMARINDA,-0.4948232,117.1436154
KAB. BULUNGAN,2.9042476,116.9852422
KAB. MALINAU,3.0730929,116.0413889
KAB. NUNUKAN,4.0809649,116.6081653
KAB. TANA TIDUNG,3.551869,117.0794082
KOTA TARAKAN,3.3273599,117.5785049
KAB. BOALEMO,0.7013419,122.2653887
KAB. BONE BOLANGO,0.5657885,123.3486147
KAB. GORONTALO,0.5692733,122.8084496
KAB. GORONTALO UTARA,0.9252647,122.4920088
KAB. POHUWATO,0.7055277999999999,121.7195459
KOTA GORONTALO,0.5435441999999999,123.0567693
KAB. BANTAENG,-5.516931599999999,120.0202964
KAB. BARRU,-4.436417,119.6499162
KAB. BONE,-4.7443383,120.0665236
KAB. BULUKUMBA,-5.432936799999999,120.2051096
KAB. ENREKANG,-3.4590744,119.8815203
KAB. GOWA,-5.310288799999999,119.742604
KAB. JENEPONTO,-5.554579,119.6730939
KAB. KEPULAUAN SELAYAR,-6.286978599999999,120.5048792
KAB. LUWU,-3.3052214,120.2512728
KAB. LUWU TIMUR,-2.5825518,121.1710389
KAB. LUWU UTARA,-2.2690446,119.9740534
KAB. MAROS,-5.0549145,119.6962677
KAB. PANGKAJENE DAN KEPULAUAN,-4.805035,119.5571677
KAB. PINRANG,-3.6483486,119.5571677
KAB. SIDENRENG RAPPANG,-3.7738981,120.0202964
KAB. SINJAI,-5.2171961,120.112735
KAB. SOPPENG,-4.3518541,119.9277947
KAB. TAKALAR,-5.4162493,119.4875668
KAB. TANA TORAJA,-3.0753003,119.742604
KAB. TORAJA UTARA,-2.8621942,119.8352303
KAB. WAJO,-4.022228999999999,120.0665236
KOTA MAKASSAR,-5.147665099999999,119.4327314
KOTA PALOPO,-3.0016343,120.1985141
KOTA PAREPARE,-4.0096221,119.6290617
KAB. BOMBANA,-4.6543462,121.9017954
KAB. BUTON,-5.3096355,122.9888319
KAB. BUTON SELATAN,-5.3096355,122.9888319
KAB. BUTON TENGAH,-5.3891354,122.5598994
KAB. BUTON UTARA,-4.702342400000001,123.0338767
KAB. KOLAKA,-3.9946988,121.5826642
KAB. KOLAKA TIMUR,-4.2279225,121.9017954
KAB. KOLAKA UTARA,-3.1347227,121.1710389
KAB. KONAWE,-3.9380432,122.0837445
KAB. KONAWE KEPULAUAN,-4.1361465,123.1239049
KAB. KONAWE SELATAN,-4.2027915,122.4467238
KAB. KONAWE UTARA,-3.3803291,122.0837445
KAB. MUNA,-4.901629,122.6277455
KAB. MUNA BARAT,-4.901629,122.6277455
KAB. WAKATOBI,-5.6504379,123.8902463
KOTA BAU-BAU,-5.507078,122.596901
KOTA KENDARI,-3.9984597,122.5129742
KAB. BANGGAI,-0.956178,122.6277455
KAB. BANGGAI KEPULAUAN,-0.956178,122.6277455
KAB. BANGGAI LAUT,-1.6734525,123.5504076
KAB. BUOL,0.9695452000000001,121.3541631
KAB. DONGGALA,-0.4233155,119.8352303
KAB. MOROWALI,-2.6987231,121.9017954
KAB. MOROWALI UTARA,-1.6311761,121.3541631
KAB. PARIGI MOUTONG,0.5817607,120.8039474
KAB. POSO,-1.6468883,120.4357631
KAB. SIGI,-1.3859904,119.8815203
KAB. TOJO UNA-UNA,-1.098757,121.5370003
KAB. TOLI-TOLI,0.8768231,120.7579834
KOTA PALU,-0.9002914999999999,119.8779987
KAB. BOLAANG MONGONDOW,0.6870994,124.0641419
KAB. BOLAANG MONGONDOW SELATAN,0.4053215,123.8411288
KAB. BOLAANG MONGONDOW TIMUR,0.7152651,124.4641848
KAB. BOLAANG MONGONDOW UTARA,0.9070359000000001,123.2657311
KAB. KEPULAUAN SANGIHE,3.6329172,125.5000999
KAB. KEPULAUAN SIAU TAGULANDANG BIARO,2.345964,125.4124355
KAB. KEPULAUAN TALAUD,4.3066741,126.8034921
KAB. MINAHASA,1.2168837,124.8182593
KAB. MINAHASA SELATAN,1.0946773,124.4641848
KAB. MINAHASA TENGGARA,1.0278551,124.7298765
KAB. MINAHASA UTARA,1.5327973,124.994751
KOTA BITUNG,1.4403744,125.1216524
KOTA KOTAMOBAGU,0.7243733,124.3199316
KOTA MANADO,1.4748305,124.8420794
KOTA TOMOHON,1.3229337,124.8405081
KAB. MAJENE,-3.0297251,118.9062794
KAB. MAMASA,-2.9118209,119.3250347
KAB. MAMUJU,-2.4920057,119.3250347
KAB. MAMUJU TENGAH,-1.9354109,119.5107708
KAB. MAMUJU UTARA,-1.5264542,119.5107708
KAB. POLEWALI MANDAR,-3.3419323,119.13906420000001
KAB. BURU,-3.3307379,126.6957216
KAB. BURU SELATAN,-3.7273972,126.6957216
KAB. KEPULAUAN ARU,-6.1946502,134.5501935
KAB. MALUKU BARAT DAYA,-7.7851588,126.3498097
KAB. MALUKU TENGAH,-3.0166501,129.4864411
KAB. MALUKU TENGGARA,-5.7512455,132.7271587
KAB. MALUKU TENGGARA BARAT,-7.5322642,131.3611121
KAB. SERAM BAGIAN BARAT,-3.1271575,128.4008357
KAB. SERAM BAGIAN TIMUR,-3.4233267,130.2271243
KOTA AMBON,-3.6553932,128.1907723
KOTA TUAL,-5.626563,132.7520867
KAB. HALMAHERA BARAT,1.3589663,127.5960704
KAB. HALMAHERA TENGAH,0.4419543,128.3587174
KAB. HALMAHERA UTARA,1.5074308,127.8936663
KAB. HALMAHERA SELATAN,-1.5109015,127.7237678
KAB. KEPULAUAN SULA,-1.8455556,125.3430556
KAB. HALMAHERA TIMUR,1.3121235,128.4849923
KAB. PULAU MOROTAI,2.3656672,128.4008357
KAB. PULAU TALIABU,-1.8268344,124.7740793
KOTA TERNATE,0.7710308,127.3695176
KOTA TIDORE KEPULAUAN,0.6740044,127.4040871
KAB. ASMAT,-5.0573958,138.3988186
KAB. BIAK NUMFOR,-1.0381022,135.9800848
KAB. BOVEN DIGOEL,-5.7400018,140.3481835
KAB. DEIYAI,-4.097489299999999,136.4393054
KAB. DOGIYAI,-4.0454139,135.6763443
KAB. INTAN JAYA,-3.5076422,136.7478493
KAB. JAYAPURA,-2.987923,139.8547266
KAB. JAYAWIJAYA,-4.0004481,138.7995122
KAB. KEEROM,-3.3449536,140.7624493
KAB. KEPULAUAN YAPEN,-1.7469359,136.1709012
KAB. LANNY JAYA,-3.971033,138.3190276
KAB. MAMBERAMO RAYA,-2.5331255,137.7637565
KAB. MAMBERAMO TENGAH,-2.3745692,138.3190276
KAB. MAPPI,-6.7606468,139.6911374
KAB. MERAUKE,-7.783833399999999,139.041312
KAB. MIMIKA,-4.4553223,137.1362125
KAB. NABIRE,-3.5095462,135.7520985
KAB. NDUGA,-4.4069496,138.2393528
KAB. PANIAI,-3.7876441,136.3624686
KAB. PEGUNUNGAN BINTANG,-4.5589872,140.5135589
KAB. PUNCAK,-3.8649098,137.6061625
KAB. PUNCAK JAYA,-3.4467891,137.8427298
KAB. SARMI,-2.4678144,139.2030851
KAB. SUPIORI,-0.7295098999999999,135.6385125
KAB. TOLIKARA,-3.481132,138.4787258
KAB. WAROPEN,-1.7469359,136.1709012
KAB. YAHUKIMO,-4.493971699999999,139.5279996
KAB. YALIMO,-3.7852847,139.4466005
KOTA JAYAPURA,-2.5916025,140.6689995
KAB. YAPEN WAROPEN,-1.7469359,136.1709012
KAB. FAKFAK,-3.097706,133.0194897
KAB. KAIMANA,-3.288406,133.9436788
KAB. MANOKWARI,-0.9989581999999998,133.0194897
KAB. MANOKWARI SELATAN,-0.9989581999999998,133.0194897
KAB. MAYBRAT,-1.2970979,132.31509930000001
KAB. PEGUNUNGAN ARFAK,-1.1554562,133.7142484
KAB. RAJA AMPAT,-1.0915151,130.8778586
KAB. SORONG,-1.1223204,131.4883373
KAB. SORONG SELATAN,-1.7657744,132.1572702
KAB. TAMBRAUW,-0.781856,132.3938375
KAB. TELUK BINTUNI,-1.9056848,133.329466
KAB. TELUK WONDAMA,-2.8551699,134.3236557
KOTA SORONG,-0.8761629000000001,131.255828
